Title,key
2D shading for cel animation,0
3D Shape Reconstruction from Sketches via Multi-view Convolutional Networks,1
A Challenging Benchmark of Anime Style Recognition,2
A Comprehensive Gold Standard and Benchmark for Comics Text Detection and Recognition,3
A Comprehensive Study of Deep Video Action Recognition,4
A Deep Learning Pipeline for the Synthesis of Graphic Novels,5
A Deep Learning-Based Approach for Inappropriate Content Detection and Classification of YouTube Videos,6
A Domain Gap Aware Generative Adversarial Network for Multi-domain Image Translation,7
A Drawing Support System for Sketching Aging Anime Faces,8
A Fast and Efficient Semi-guided Algorithm for Flat Coloring Line-arts,9
A Faster R-CNN Based Method for Comic Characters Face Detection,10
A Neural Representation of Sketch Drawings,11
A Note on Data Biases in Generative Models,12
A Novel Double-Tail Generative Adversarial Network for Fast Photo Animation,13
A Simple Framework for Contrastive Learning of Visual Representations,14
A Study on Generating Webtoons Using Multilingual Text-to-Image Models,15
A Study on Object Detection Method from Manga Images Using CNN,16
A Study to Achieve Manga Character Retrieval Method for Manga Images,17
A Survey of Comics Research in Computer Science,18
"A Survey on Machine Reading Comprehension—Tasks, Evaluation Metrics and Benchmark Datasets",19
A Transformer-Based Model for Super-Resolution of Anime Image,20
AccessComics2: Understanding the User Experience of an Accessible Comic Book Reader for Blind People with Textual Sound Effects,21
ACFD: Asymmetric Cartoon Face Detector,22
Action2Sound: Ambient-Aware Generation of Action Sounds from Egocentric Videos,23
Adding Conditional Control to Text-to-Image Diffusion Models,24
Advancing Manga Analysis: Comprehensive Segmentation Annotations for the Manga109 Dataset,25
AgileGAN: Stylizing Portraits by Inversion-Consistent Transfer Learning,26
Alchemist: Parametric Control of Material Properties with Diffusion Models,27
Algorithms for Estimation of Comic Speakers Considering Reading Order of Frames and Texts,28
Aligning Anime Video Generation with Human Feedback,29
Alleviating Semantics Distortion in Unsupervised Low-Level Image-to-Image Translation via Structure Consistency Constraint,30
An Adaptive Control Algorithm for Stable Training of Generative Adversarial Networks,31
An Evaluation of Traditional and CNN-Based Feature Descriptors for Cartoon Pornography Detection,32
Analysis Based on Distributed Representations of Various Parts Images in Four-Scene Comics Story Dataset,33
AniDoc: Animation Creation Made Easier,34
AniFaceDrawing: Anime Portrait Exploration during Your Sketching,35
AniGAN: Style-Guided Generative Adversarial Networks for Unsupervised Anime Face Generation,36
ANIM-400K: A Large-Scale Dataset for Automated End-To-End Dubbing of Video,37
Anim-Director: A Large Multimodal Model Powered Agent for Controllable Animation Video Generation,38
Animate Anyone: Consistent and Controllable Image-to-Video Synthesis for Character Animation,39
Animate-A-Story: Storytelling with Retrieval-Augmented Video Generation,40
Animate-X: Universal Character Image Animation with Enhanced Motion Representation,41
AnimateDiff-Lightning: Cross-Model Diffusion Distillation,42
Animation Anycolor: Enhancing Line Drawing Colorization with Keypoint Matching,43
Animation Line Art Colorization Based on Optical Flow Method,44
Anime Character Colorization using Few-shot Learning,45
Anime like Character Face Generation: A survey,46
Anime Sketch Coloring with Swish-gated Residual U-net and Spectrally Normalized GAN,47
Anime Sketch Colorization by Component-based Matching using Deep Appearance Features and Graph Representation,48
Anime Style Space Exploration Using Metric Learning and Generative Adversarial Networks,49
Anime Style Transfer With Spatially-Adaptive Normalization,50
Anime-to-Real Clothing: Cosplay Costume Generation via Image-to-Image Translation,51
AnimeCeleb: Large-Scale Animation CelebHeads Dataset for Head Reenactment,52
AnimeColor: Reference-based Animation Colorization with Diffusion Transformers,53
AnimeDiffusion: Anime Face Line Drawing Colorization via Diffusion Models,54
AnimeDL-2M: Million-Scale AI-Generated Anime Image Detection and Localization in Diffusion Era,55
AnimeGamer: Infinite Anime Life Simulation with Next Game State Prediction,56
AnimeGAN: a novel lightweight GAN for photo animation,57
AnimeRun: 2D Animation Visual Correspondence from Open Source 3D Movies,58
AnimeShooter: A Multi-Shot Animation Dataset for Reference-Guided Video Generation,59
AnimeSR: Learning Real-World Super-Resolution Models for Animation Videos,60
AniSora: Exploring the Frontiers of Animation Video Generation in the Sora Era,61
Anita Dataset: An Industrial Animation Dataset ,62
AniWho : A Quick and Accurate Way to Classify Anime Character Faces in Images,63
APISR: Anime Production Inspired Real-World Anime Super-Resolution,64
Appearance-preserved Portrait-to-anime Translation via Proxy-guided Domain Adaptation,65
ARGAN: Fast Converging GAN for Animation Style Transfer,66
Artist-Guided Semiautomatic Animation Colorization,67
ATTENTION-AWARE ANIME LINE DRAWING COLORIZATION,68
Attention-Based Unsupervised Sketch Colorization of Anime Avatar,69
Attentioned Deep Paint,70
AttentionGAN: Unpaired Image-to-Image Translation using Attention-Guided Generative Adversarial Networks,71
Augmenting Conversations With Comic-Style Word Balloons,72
Augmenting Hand-Drawn Art with Global Illumination Effects through Surface Inflation,73
AugNet: End-to-End Unsupervised Visual Representation Learning with Image Augmentation,74
Auto-Encoding for Shared Cross Domain Feature Representation and Image-to-Image Translation,75
Auto-painter: Cartoon Image Generation from Sketch by Using Conditional Wasserstein Generative Adversarial Networks,76
Autoencoding Generative Adversarial Networks,77
Automatic Animation Inbetweening,78
Automatic Colorization of Anime Style Illustrations Using a Two-Stage Generator,79
Automatic Comic Generation with Stylistic Multi-page Layouts and Emotion-driven Text Balloon Generation,80
Automatic Comic Strip Generation Using Extracted Keyframes from Cartoon Animation,81
Automatic Dewarping of Camera-Captured Comic Document Images,82
Automatic Generation of 3D Natural Anime-like Non-Player Characters with Machine Learning,83
Automatic Illumination Effects for 2D Characters,84
Automatic Illumination of Flat-Colored Drawings by 3D Augmentation of 2D Silhouettes,85
Automatic manga colorization with color style by generative adversarial nets,86
Automatic Preview Generation of Comic Episodes for Digitized Comic Search,87
Automatic Sketch Colorization with Tandem Conditional Adversarial Networks,88
Automatic Stylistic Manga Layout,89
Automatic Temporally Coherent Video Colorization,90
BCBId: First Bangla Comic Dataset and Its Applications,91
Breaking the cycle—Colleagues are all you need,92
Bridging the Gap: Sketch-Aware Interpolation Network for High-Quality Animation Sketch Inbetweening \,93
Building a Manga Dataset ”Manga109” with Annotations for Multimedia Applications,94
C2VNet: A Deep Learning Framework Towards Comic Strip to Audio-Visual Scene Synthesis,95
CameraCtrl: Enabling Camera Control for Text-to-Video Generation,96
Caricaturation for Human Face Pictures,97
Cartoon Face Recognition: A Benchmark Dataset,98
Cartoon image colorization based on emotion recognition and superpixel color resolution,99
Cartoon Image Processing: A Survey,100
