Title,Authors,Publication,Year,Type,Key Findings,Relevance,Status,URL,Notes,Tags,Citation,Source
2D shading for cel animation,"Matis Hudon, Rafael Pagés, Mairéad Grogan, Jan Ondřej, Aljoša Smolić",ACM,2018.0,,,,To Assess,https://doi.org/10.1145/3229147.3229148,,,,AwesomeAnimeResearch
3D Shape Reconstruction from Sketches via Multi-view Convolutional Networks,"Zhaoliang Lun, Matheus Gadelha, Evangelos Kalogerakis, Subhransu Maji, Rui Wang",IEEE,2017.0,,,,To Assess,https://doi.org/10.1109/3dv.2017.00018,,,,awesome-comics-understanding
A Challenging Benchmark of Anime Style Recognition,"Haotang Li, Shengtao Guo, Kailin Lyu, Xiao Yang, Tianchen Chen, Jianqing Zhu, Huanqiang Zeng",IEEE,2022.0,,,,To Assess,https://doi.org/10.1109/cvprw56347.2022.00518,,,,AwesomeAnimeResearch
A Deep Learning-Based Approach for Inappropriate Content Detection and Classification of YouTube Videos,"Kanwal Yousaf, Tabassam Nawaz",Institute of Electrical and Electronics Engineers (IEEE),2022.0,,,,To Assess,https://doi.org/10.1109/access.2022.3147519,,,,AwesomeAnimeResearch
A Drawing Support System for Sketching Aging Anime Faces,"Sicheng Li, Haoran Xie, Xi Yang, Chia-Ming Chang, Kazunori Miyata",IEEE,2022.0,,,,To Assess,https://doi.org/10.1109/cw55638.2022.00010,,,,AwesomeAnimeResearch
A Faster R-CNN Based Method for Comic Characters Face Detection,"Xiaoran Qin, Yafeng Zhou, Zheqi He, Yongtao Wang, Zhi Tang",IEEE,2017.0,,,,To Assess,https://doi.org/10.1109/icdar.2017.178,,,,awesome-comics-understanding
A Novel Double-Tail Generative Adversarial Network for Fast Photo Animation,"Gang LIU, Xin CHEN, Zhixiang GAO","Institute of Electronics, Information and Communications Engineers (IEICE)",2024.0,,,,To Assess,https://doi.org/10.1587/transinf.2023edp7061,,,,AwesomeAnimeResearch
A Study to Achieve Manga Character Retrieval Method for Manga Images,"Motoi Iwata, Atsushi Ito, Koichi Kise",IEEE,2014.0,,,,To Assess,https://doi.org/10.1109/das.2014.60,,,,awesome-comics-understanding
A Survey of Comics Research in Computer Science,"Olivier Augereau, Motoi Iwata, Koichi Kise",MDPI AG,2018.0,,,,To Assess,https://doi.org/10.3390/jimaging4070087,,,,AwesomeAnimeResearch
"A Survey on Machine Reading Comprehension—Tasks, Evaluation Metrics and Benchmark Datasets","Changchang Zeng, Shaobo Li, Qin Li, Jie Hu, Jianjun Hu",MDPI AG,2020.0,,,,To Assess,https://doi.org/10.3390/app10217640,,,,awesome-comics-understanding
A Transformer-Based Model for Super-Resolution of Anime Image,"Shizhuo Xu, Vibekananda Dutta, Xin He, Takafumi Matsumaru",MDPI AG,2022.0,,,,To Assess,https://doi.org/10.3390/s22218126,,,,AwesomeAnimeResearch
AccessComics2: Understanding the User Experience of an Accessible Comic Book Reader for Blind People with Textual Sound Effects,"Yun Jung Lee, Hwayeon Joh, Suhyeon Yoo, Uran Oh",Association for Computing Machinery (ACM),2023.0,,,,To Assess,https://doi.org/10.1145/3555720,,,,awesome-comics-understanding
Adding Conditional Control to Text-to-Image Diffusion Models,"Lvmin Zhang, Anyi Rao, Maneesh Agrawala",IEEE,2023.0,,,,To Assess,https://doi.org/10.1109/iccv51070.2023.00355,,,,AwesomeAnimeResearch
Advancing Manga Analysis: Comprehensive Segmentation Annotations for the Manga109 Dataset,"Minshan Xie, Jian Lin, Hanyuan Liu, Chengze Li, Tien-Tsin Wong",IEEE,2025.0,,,,To Assess,https://doi.org/10.1109/cvpr52734.2025.00829,,,,AwesomeAnimeResearch
Alchemist: Parametric Control of Material Properties with Diffusion Models,"Prafull Sharma, Varun Jampani, Yuanzhen Li, Xuhui Jia, Dmitry Lagun, Fredo Durand, Bill Freeman, Mark Matthews",IEEE,2024.0,,,,To Assess,https://doi.org/10.1109/cvpr52733.2024.02278,,,,Awesome-AI4Animation
Alleviating Semantics Distortion in Unsupervised Low-Level Image-to-Image Translation via Structure Consistency Constraint,"Jiaxian Guo, Jiachen Li, Huan Fu, Mingming Gong, Kun Zhang, Dacheng Tao",IEEE,2022.0,,,,To Assess,https://doi.org/10.1109/cvpr52688.2022.01771,,,,AwesomeAnimeResearch
An Adaptive Control Algorithm for Stable Training of Generative Adversarial Networks,"Xiaohan Ma, Rize Jin, Kyung-Ah Sohn, Joon-Young Paik, Tae-Sun Chung",Institute of Electrical and Electronics Engineers (IEEE),2019.0,,,,To Assess,https://doi.org/10.1109/access.2019.2960461,,,,AwesomeAnimeResearch
An Evaluation of Traditional and CNN-Based Feature Descriptors for Cartoon Pornography Detection,"Nouar Aldahoul, Hezerul Abdul Karim, Mohd Haris Lye Abdullah, Abdulaziz Saleh Ba Wazir, Mohammad Faizal Ahmad Fauzi, Myles Joshua Toledo Tan, Sarina Mansor, Hor Sui Lyn",Institute of Electrical and Electronics Engineers (IEEE),2021.0,,,,To Assess,https://doi.org/10.1109/access.2021.3064392,,,,AwesomeAnimeResearch
Analysis Based on Distributed Representations of Various Parts Images in Four-Scene Comics Story Dataset,"Akira Terauchi, Naoki Mori, Miki Ueno",IEEE,2019.0,,,,To Assess,https://doi.org/10.1109/icdarw.2019.00014,,,,awesome-comics-understanding
AniDoc: Animation Creation Made Easier,"Yihao Meng, Hao Ouyang, Hanlin Wang, Qiuyu Wang, Wen Wang, Ka Leong Cheng, Zhiheng Liu, Yujun Shen, Huamin Qu",IEEE,2025.0,,,,To Assess,https://doi.org/10.1109/cvpr52734.2025.01695,,,,"Awesome-AI4Animation, Awesome-Animation-Research"
AniFaceDrawing: Anime Portrait Exploration during Your Sketching,"Zhengyu Huang, Haoran Xie, Tsukasa Fukusato, Kazunori Miyata",ACM,2023.0,,,,To Assess,https://doi.org/10.1145/3588432.3591548,,,,AwesomeAnimeResearch
AniGAN: Style-Guided Generative Adversarial Networks for Unsupervised Anime Face Generation,"Bing Li, Yuanlue Zhu, Yitong Wang, Chia-Wen Lin, Bernard Ghanem, Linlin Shen",Institute of Electrical and Electronics Engineers (IEEE),2022.0,,,,To Assess,https://doi.org/10.1109/tmm.2021.3113786,,,,AwesomeAnimeResearch
Anim-Director: A Large Multimodal Model Powered Agent for Controllable Animation Video Generation,"Yunxin Li, Haoyuan Shi, Baotian Hu, Longyue Wang, Jiashun Zhu, Jinyi Xu, Zhen Zhao, Min Zhang",ACM,2024.0,,,,To Assess,https://doi.org/10.1145/3680528.3687688,,,,Awesome-AI4Animation
Animate Anyone: Consistent and Controllable Image-to-Video Synthesis for Character Animation,H. Li,IEEE,2024.0,,,,To Assess,https://doi.org/10.1109/cvpr52733.2024.00779,,,,Awesome-AI4Animation
Animation Anycolor: Enhancing Line Drawing Colorization with Keypoint Matching,"Liyao Wang, Zuzeng Lin, Danni Wu, Zihao Yu, Suzhe Zhang, Zixian Wu, Feng Wang",IEEE,2025.0,,,,To Assess,https://doi.org/10.1109/icassp49660.2025.10888082,,,,Awesome-Animation-Research
Animation Line Art Colorization Based on Optical Flow Method,"Yifeng Yu, Jiangbo Qian, Chong Wang, Yihong Dong, Baisong Liu",Elsevier BV,2022.0,,,,To Assess,https://doi.org/10.2139/ssrn.4202289,,,,"Awesome-AI4Animation, Awesome-Animation-Research"
Anime Character Colorization using Few-shot Learning,"Akinobu Maejima, Hiroyuki Kubo, Seitaro Shinagawa, Takuya Funatomi, Tatsuo Yotsukura, Satoshi Nakamura, Yasuhiro Mukaigawa",ACM,2021.0,,,,To Assess,https://doi.org/10.1145/3478512.3488604,,,,AwesomeAnimeResearch
Anime Sketch Colorization by Component-based Matching using Deep Appearance Features and Graph Representation,"Thien Do, Van Pham, Anh Nguyen, Trung Dang, Quoc Nguyen, Bach Hoang, Giao Nguyen",IEEE,2021.0,,,,To Assess,https://doi.org/10.1109/icpr48806.2021.9412507,,,,AwesomeAnimeResearch
Anime Style Transfer With Spatially-Adaptive Normalization,"Junjian Lian, Jinrong Cui",IEEE,2021.0,,,,To Assess,https://doi.org/10.1109/icme51207.2021.9428305,,,,AwesomeAnimeResearch
