title,authors,year,venue,doi,url
2D shading for cel animation,,,,,
3D Shape Reconstruction from Sketches via Multi-view Convolutional Networks,"Z. Lun, Matheus Gadelha, E. Kalogerakis, Subhransu Maji, Rui Wang",2017,International Conference on 3D Vision,,https://www.semanticscholar.org/paper/bfa7d935a75faf2cd8bdfae4559c987855f1c956
A Challenging Benchmark of Anime Style Recognition,"Haotang Li, S. Guo, Kailin Lyu, Xiao Yang, Tianchen Chen, Jianqing Zhu, Huanqiang Zeng",2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),,https://www.semanticscholar.org/paper/057f79c6b63954481996a790a6b784ff75f31a4d
A Comprehensive Gold Standard and Benchmark for Comics Text Detection and Recognition,"Gürkan Soykan, Deniz Yuret, T. M. Sezgin",2022,IEEE International Conference on Document Analysis and Recognition,,https://www.semanticscholar.org/paper/06526681c7ece8e1bc36db43c137a8a575ffae7c
Big Data and Deep Learning in Smart Cities: A Comprehensive Dataset for AI-Driven Traffic Accident Detection and Computer Vision Systems,"Victor A. Adewopo, Nelly Elsayed, Zag ElSayed, Murat Ozer, Constantinos L. Zekios, Ahmed Abdelgawad, Magdy A. Bayoumi",2024,SoutheastCon,,https://www.semanticscholar.org/paper/0f6592e52072bbf5565df52ef79f714459be5eae
A Deep Learning Pipeline for the Synthesis of Graphic Novels,"Thomas Melistas, Giannis Siglidis, Fivos Kalogiannis, Ilan Manouach",2021,International Conference on Innovative Computing and Cloud Computing,,https://www.semanticscholar.org/paper/7b9d862e958d909ddfcb595ffbae418a304efee4
A Deep Learning-Based Approach for Inappropriate Content Detection and Classification of YouTube Videos,"Kanwal Yousaf, Tabassam Nawaz",2022,IEEE Access,,https://www.semanticscholar.org/paper/559102b5c1d6b2aa07ff639d0f9db971476bfb54
A Domain Gap Aware Generative Adversarial Network for Multi-Domain Image Translation,"Wenju Xu, Guanghui Wang",2021,IEEE Transactions on Image Processing,,https://www.semanticscholar.org/paper/f46af63174a90dbcdd3f5d2e582d3d76a7c703f3
A Drawing Support System for Sketching Aging Anime Faces,,,,,
A Fast and Efficient Semi-guided Algorithm for Flat Coloring Line-arts,"Sébastien Fourey, D. Tschumperlé, David Revoy",2018,"International Symposium on Vision, Modeling, and Visualization",,https://www.semanticscholar.org/paper/70a1af45b52e2167964157603fed831cc053000b
A Faster R-CNN Based Method for Comic Characters Face Detection,"Xiaoran Qin, Yafeng Zhou, Zheqi He, Yongtao Wang, Zhi Tang",2017,IEEE International Conference on Document Analysis and Recognition,,https://www.semanticscholar.org/paper/015b8b966baae37b36d8fbf33a4be6f4c30c6116
Placing language in an integrated understanding system: Next steps toward human-level performance in neural language models,"James L. McClelland, Felix Hill, Maja R. Rudolph, Jason Baldridge, Hinrich Schütze",2020,Proceedings of the National Academy of Sciences of the United States of America,,https://www.semanticscholar.org/paper/00b1e962182c42949822821dc1a929bd132ec082
Iterated Bayesian Learning and Portuguese Clitics Qualifying Paper II,Catherine Lai,2008,,,https://www.semanticscholar.org/paper/0cd04c1a4cc42907038b7474a3b8998464f2fa22
A Novel Double-Tail Generative Adversarial Network for Fast Photo Animation,"Gang Liu, Xin Chen, Zhixiang Gao",2024,IEICE Trans. Inf. Syst.,,https://www.semanticscholar.org/paper/eaa4498bbceb849b48d37a6af9312ebee36701a4
Harmony: A Generic Unsupervised Approach for Disentangling Semantic Content from Parameterized Transformations,"M. R. Uddin, Gregory Howe, Xiangrui Zeng, Min Xu",2022,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/044ffd897affa766212c75d7f0177beccdd18aca
A Study on Generating Webtoons Using Multilingual Text-to-Image Models,"K. Yu, Hyoungju Kim, Jeongin Kim, Chanjun Chun, Pankoo Kim",2023,Applied Sciences,,https://www.semanticscholar.org/paper/e3c4012f534f78d85b3264b5d4984f3a898b8ff8
A Study on Object Detection Method from Manga Images Using CNN,,,,,
A Study to Achieve Manga Character Retrieval Method for Manga Images,,,,,
A survey of comics research in computer science,"Olivier Augereau, M. Iwata, K. Kise",2018,Journal of Imaging,,https://www.semanticscholar.org/paper/31e6e9f24a60936a8ef901a74664dc6c514f604d
More Than Reading Comprehension: A Survey on Datasets and Metrics of Textual Question Answering,"Yang Bai, D. Wang",2021,arXiv.org,,https://www.semanticscholar.org/paper/12bc45e2268a5742d21a8a37109f8793417cefcc
A Transformer-Based Model for Super-Resolution of Anime Image,,,,,
Introduction to the Special Issue on W4A’21,"Victoria Yaneva, D. Ahmetovic",2023,ACM Transactions on Accessible Computing,,https://www.semanticscholar.org/paper/1bd73910b7c9c51da21549f0a4e56442fec5c8ba
ACFD: Asymmetric Cartoon Face Detector,"Bin Zhang, Jian Li, Yabiao Wang, Zhipeng Cui, Yili Xia, Chengjie Wang, Jilin Li, Feiyue Huang",2020,arXiv.org,,https://www.semanticscholar.org/paper/b834c68b8b64766b69bf7fbd76f797d60757a01d
